Date,"GLD,IEF,LQD,QQQ,TIP,VNQ","GLD,IEF,QQQ,TIP,VNQ","GLD,IEF,LQD,QQQ,VNQ","GLD,IEF,QQQ,VNQ","GLD,IEF,QQQ,TIP,TLT,VNQ"
2006-10-03,116347.11690539878,116545.20113704247,119799.14106347886,120132.19120196102,115171.19434466638
2006-10-04,117087.34933006686,117368.27198318254,120675.37578145046,121235.72213411045,115989.47383418473
2006-10-05,116915.01069492282,117289.01822712045,120503.08998044042,121227.67775071616,115772.59544770246
2006-10-06,116373.06495466999,116796.59559433543,119863.34867171229,120612.03112111258,115150.65439005505
2006-10-09,116456.53335541626,116878.47130873869,120073.94519997027,120913.46585417062,115275.16282159809
2006-10-10,115998.37563643829,116444.04453755537,119604.24569924708,120486.29572937732,114755.62069920615
2006-10-11,115733.95196267373,116178.0814832845,119360.37114519734,120261.16314878095,114478.9014940775
2006-10-12,116051.91338040955,116516.76565030873,119809.52565672835,120837.75542623429,114762.05044230983
2006-10-13,115970.70349628851,116589.63071573603,119772.08835593323,121101.68631642786,114711.6540958472
2006-10-16,116165.28724217399,116744.44200141646,120013.14589168564,121304.71771332053,114932.00686141025
2006-10-17,116145.51605468855,116617.71286689444,119989.54221437665,121093.3001780238,114848.06891229634
2006-10-18,116159.57699250072,116530.53548051961,120106.92134951697,121113.13678242934,114822.8621258758
2006-10-19,116022.86494825181,116498.25529394078,119897.33793597299,121032.67192241331,114757.60674043179
2006-10-20,116030.18822640975,116489.32867848707,119912.48335941232,121025.41203157735,114728.27549794804
2006-10-23,115907.97907470055,116429.48771839375,119872.22383547465,121157.9389855028,114593.99283150827
2006-10-24,115954.53364715943,116408.86739802879,119869.08338224245,120999.460219175,114577.52260758256
2006-10-25,116470.21586369861,116936.42986317114,120393.16474208515,121538.8467780811,115169.78677202124
2006-10-26,117018.77118070854,117565.29841006853,120950.40870392029,122229.4956437319,115813.20113066207
2006-10-27,117128.50813896781,117557.99773333981,121005.24190019086,122037.26752345965,115908.53767470439
2006-10-30,117225.61745866374,117649.89986437779,121227.4385346825,122342.67342673648,116043.51668569795
2006-10-31,117738.92723604699,118159.3318174997,121706.32747745755,122777.23193398373,116620.61936850747
2006-11-01,117888.60635891727,118204.89225950443,121760.32749893701,122576.97876657867,116778.204947159
2006-11-02,117437.41606426181,117637.7144384796,121236.73569493278,121823.53512320196,116231.56582919488
2006-11-03,116632.3241677634,116837.45417395174,120347.09100431748,120904.78908689685,115340.74792256253
2006-11-06,117053.47799578538,117367.05786372414,120813.78087931898,121572.4381690356,115832.04060828887
2006-11-07,117306.56295018156,117559.6274723375,121008.3872353725,121626.11487993435,116081.15168415858
2006-11-08,117559.50860557638,117854.16035165703,121285.97701092645,121983.51703402068,116393.48497621735
2006-11-09,117624.74482153058,117898.8799622353,121291.34333160052,121917.20315883867,116418.97091344022
2006-11-10,117863.23299592183,118108.2184099018,121649.64374238798,122295.40564410671,116677.18643159608
2006-11-13,117885.4847985821,118167.34482743488,121787.69795561202,122564.7710042032,116721.1394268133
2006-11-14,118309.287361458,118680.4240213294,122337.13164628186,123332.28946800911,117219.02655089591
2006-11-15,118100.3656892296,118507.74035195544,122178.18011828097,123268.19206603576,117001.99210000795
2006-11-16,117929.05505089478,118333.53932061464,122194.30983854287,123397.23028901493,116768.011966435
